"Frequency (/s)","Img: unnamed","Real: unnamed"
0.0,0.0,-8.918724344911508E-17
0.999990909090909,-4.342522025860425E-7,-1.5605224083051016E-4
1.999981818181818,-8.685091039882234E-7,-1.5605186005589024E-4
2.9999727272727275,-1.3027754039412788E-6,-1.560512254313567E-4
3.999963636363636,-1.737055804715687E-6,-1.5605033695633417E-4
4.999954545454545,-2.171355010970183E-6,-1.5604919463022959E-4
5.999945454545455,-2.6056777321620548E-6,-1.5604779845184482E-4
6.999936363636364,-3.0400286822700745E-6,-1.5604614842039773E-4
7.999927272727272,-3.474412582300693E-6,-1.560442445344904E-4
8.999918181818181,-3.908834159019778E-6,-1.5604208679307642E-4
9.99990909090909,-4.343298149879111E-6,-1.560396751936594E-4
10.9999,-4.777809298653996E-6,-1.5603700973576486E-4
11.99989090909091,-5.212372361550149E-6,-1.5603409041767323E-4
12.999881818181818,-5.646992107260013E-6,-1.560309172362836E-4
13.999872727272727,-6.081673313352512E-6,-1.5602749019081967E-4
14.999863636363637,-6.516420774271604E-6,-1.560238092784018E-4
15.999854545454545,-6.9512392972602E-6,-1.5601987449755377E-4
16.999845454545454,-7.386133706347613E-6,-1.5601568584599232E-4
17.999836363636362,-7.821108841415739E-6,-1.5601124332192818E-4
18.999827272727273,-8.256169561135288E-6,-1.5600654692308767E-4
19.99981818181818,-8.691320742237452E-6,-1.5600159664784817E-4
20.99980909090909,-9.126567282585844E-6,-1.5599639249430628E-4
21.9998,-9.561914100204754E-6,-1.5599093446092826E-4
22.99979090909091,-9.99736613624452E-6,-1.559852225461463E-4
23.99978181818182,-1.0432928354809526E-5,-1.5597925674911447E-4
24.999772727272727,-1.0868605745341922E-5,-1.55973037068426E-4
25.999763636363635,-1.1304403321501522E-5,-1.5596656350403063E-4
26.999754545454547,-1.1740326125820152E-5,-1.559598360551217E-4
27.999745454545454,-1.2176379227772841E-5,-1.5595285472241635E-4
28.999736363636362,-1.2612567726583739E-5,-1.5594561950623852E-4
29.999727272727274,-1.3048896751330495E-5,-1.5593813040795453E-4
30.99971818181818,-1.3485371463943439E-5,-1.5593038742896416E-4
31.99970909090909,-1.39219970581924E-5,-1.5592239057207586E-4
32.9997,-1.43587787631253E-5,-1.5591413984004763E-4
33.99969090909091,-1.4795721841736239E-5,-1.5590563523718243E-4
34.99968181818182,-1.5232831596434027E-5,-1.5589687676676134E-4
35.999672727272724,-1.5670113363985226E-5,-1.5588786443609107E-4
36.999663636363636,-1.6107572523041105E-5,-1.5587859825132955E-4
37.99965454545455,-1.654521449433655E-5,-1.5586907821909594E-4
38.99964545454545,-1.6983044736441392E-5,-1.5585930434918949E-4
39.99963636363636,-1.742106875500926E-5,-1.5584927665064662E-4
40.999627272727274,-1.7859292098269088E-5,-1.5583899513515694E-4
41.99961818181818,-1.8297720362442516E-5,-1.558284598151026E-4
42.99960909090909,-1.8736359189709614E-5,-1.5581767070478621E-4
43.9996,-1.9175214272671755E-5,-1.5580662781950573E-4
44.99959090909091,-1.9614291353672226E-5,-1.5579533117690217E-4
45.99958181818182,-2.0053596227811262E-5,-1.5578378079582648E-4
46.99957272727273,-2.0493134742844905E-5,-1.5577197669725492E-4
47.99956363636364,-2.093291280290092E-5,-1.557599189043394E-4
48.999554545454544,-2.1372936367679782E-5,-1.5574760744200379E-4
49.999545454545455,-2.1813211456211342E-5,-1.5573504233758727E-4
50.999536363636366,-2.2253744146464604E-5,-1.557222236206989E-4
51.99952727272727,-2.269454057920354E-5,-1.55709151323604E-4
52.99951818181818,-2.3135606957367604E-5,-1.5569582548104657E-4
53.99950909090909,-2.3576949549916173E-5,-1.5568224613046966E-4
54.9995,-2.4018574691609818E-5,-1.5566841331249334E-4
55.99949090909091,-2.4460488787348442E-5,-1.5565432707049766E-4
56.99948181818182,-2.4902698310060438E-5,-1.5563998745088647E-4
57.999472727272725,-2.5345209807359744E-5,-1.556253945045583E-4
58.999463636363636,-2.578802989940484E-5,-1.5561054828436768E-4
59.99945454545455,-2.623116528349965E-5,-1.555954488483239E-4
60.99944545454545,-2.6674622733994883E-5,-1.5558009625713746E-4
61.99943636363636,-2.7118409106339354E-5,-1.5556449057650755E-4
62.999427272727274,-2.756253133686417E-5,-1.5554863187553872E-4
63.99941818181818,-2.8006996448239407E-5,-1.5553252022912877E-4
64.9994090909091,-2.845181154570443E-5,-1.5551615571512468E-4
65.9994,-2.889698382722456E-5,-1.554995384180949E-4
66.9993909090909,-2.93425205801644E-5,-1.5548266842685358E-4
67.99938181818182,-2.978842918249017E-5,-1.5546554583443508E-4
68.99937272727273,-3.0234717111234342E-5,-1.5544817074156304E-4
69.99936363636364,-3.068139193832963E-5,-1.554305432534371E-4
70.99935454545455,-3.11284613375083E-5,-1.554126634821148E-4
71.99934545454545,-3.157593308429956E-5,-1.5539453154536493E-4
72.99933636363636,-3.202381506002979E-5,-1.5537614756801308E-4
73.99932727272727,-3.247211525337515E-5,-1.553575116816352E-4
74.99931818181818,-3.292084176370068E-5,-1.5533862402537855E-4
75.9993090909091,-3.337000280326944E-5,-1.5531948474528247E-4
76.9993,-3.381960670091511E-5,-1.5530009399586505E-4
77.9992909090909,-3.426966190362988E-5,-1.5528045193960156E-4
78.99928181818181,-3.472017698045241E-5,-1.5526055874750074E-4
79.99927272727273,-3.5171160625026706E-5,-1.5524041459936594E-4
80.99926363636364,-3.5622621658986094E-5,-1.5522001968444233E-4
81.99925454545455,-3.607456903459967E-5,-1.5519937420159762E-4
82.99924545454546,-3.65270118386428E-5,-1.5517847835973218E-4
83.99923636363636,-3.697995929504853E-5,-1.551573323779277E-4
84.99922727272727,-3.743342076840446E-5,-1.5513593648655457E-4
